"","group1a","group1b","group2a","group2b"
"1",TRUE,FALSE,FALSE,FALSE
"2",TRUE,FALSE,FALSE,FALSE
"3",FALSE,FALSE,TRUE,FALSE
"4",FALSE,TRUE,FALSE,FALSE
"5",FALSE,TRUE,FALSE,FALSE
"6",FALSE,TRUE,FALSE,FALSE
"7",FALSE,TRUE,FALSE,FALSE
"8",FALSE,FALSE,TRUE,FALSE
"9",FALSE,TRUE,FALSE,FALSE
"10",FALSE,FALSE,TRUE,FALSE
"11",FALSE,TRUE,FALSE,FALSE
"12",FALSE,TRUE,FALSE,FALSE
"13",FALSE,TRUE,FALSE,FALSE
"14",FALSE,FALSE,TRUE,FALSE
"15",TRUE,FALSE,FALSE,FALSE
"16",FALSE,FALSE,TRUE,FALSE
"17",FALSE,TRUE,FALSE,FALSE
"18",TRUE,FALSE,FALSE,FALSE
"19",FALSE,FALSE,TRUE,FALSE
"20",TRUE,FALSE,FALSE,FALSE
"21",FALSE,FALSE,FALSE,TRUE
"22",FALSE,FALSE,FALSE,TRUE
"23",TRUE,FALSE,FALSE,FALSE
"24",FALSE,FALSE,FALSE,TRUE
"25",FALSE,FALSE,TRUE,FALSE
"26",FALSE,FALSE,TRUE,FALSE
"27",TRUE,FALSE,FALSE,FALSE
"28",FALSE,FALSE,TRUE,FALSE
"29",FALSE,FALSE,TRUE,FALSE
"30",FALSE,FALSE,FALSE,TRUE
"31",TRUE,FALSE,FALSE,FALSE
"32",FALSE,FALSE,TRUE,FALSE
"33",FALSE,FALSE,FALSE,TRUE
"34",FALSE,FALSE,TRUE,FALSE
"35",FALSE,FALSE,TRUE,FALSE
"36",FALSE,FALSE,FALSE,TRUE
"37",TRUE,FALSE,FALSE,FALSE
"38",FALSE,FALSE,FALSE,TRUE
"39",FALSE,FALSE,TRUE,FALSE
"40",FALSE,TRUE,FALSE,FALSE
"41",TRUE,FALSE,FALSE,FALSE
"42",TRUE,FALSE,FALSE,FALSE
"43",TRUE,FALSE,FALSE,FALSE
"44",FALSE,FALSE,TRUE,FALSE
"45",FALSE,TRUE,FALSE,FALSE
"46",FALSE,FALSE,TRUE,FALSE
"47",TRUE,FALSE,FALSE,FALSE
"48",FALSE,FALSE,FALSE,TRUE
"49",FALSE,TRUE,FALSE,FALSE
"50",FALSE,TRUE,FALSE,FALSE
"51",FALSE,FALSE,TRUE,FALSE
"52",FALSE,TRUE,FALSE,FALSE
"53",TRUE,FALSE,FALSE,FALSE
"54",FALSE,TRUE,FALSE,FALSE
"55",FALSE,FALSE,FALSE,TRUE
"56",TRUE,FALSE,FALSE,FALSE
"57",FALSE,TRUE,FALSE,FALSE
"58",FALSE,FALSE,FALSE,TRUE
"59",FALSE,FALSE,TRUE,FALSE
"60",TRUE,FALSE,FALSE,FALSE
"61",FALSE,FALSE,TRUE,FALSE
"62",TRUE,FALSE,FALSE,FALSE
"63",TRUE,FALSE,FALSE,FALSE
"64",FALSE,TRUE,FALSE,FALSE
"65",FALSE,FALSE,TRUE,FALSE
"66",TRUE,FALSE,FALSE,FALSE
"67",TRUE,FALSE,FALSE,FALSE
"68",FALSE,FALSE,TRUE,FALSE
"69",FALSE,FALSE,TRUE,FALSE
"70",FALSE,FALSE,TRUE,FALSE
"71",FALSE,FALSE,FALSE,TRUE
"72",FALSE,FALSE,FALSE,TRUE
"73",FALSE,FALSE,TRUE,FALSE
"74",FALSE,FALSE,TRUE,FALSE
"75",FALSE,TRUE,FALSE,FALSE
"76",FALSE,FALSE,FALSE,TRUE
"77",FALSE,TRUE,FALSE,FALSE
"78",FALSE,FALSE,TRUE,FALSE
"79",TRUE,FALSE,FALSE,FALSE
"80",FALSE,FALSE,FALSE,TRUE
"81",FALSE,FALSE,FALSE,TRUE
"82",FALSE,TRUE,FALSE,FALSE
"83",FALSE,FALSE,TRUE,FALSE
"84",FALSE,FALSE,TRUE,FALSE
"85",TRUE,FALSE,FALSE,FALSE
"86",TRUE,FALSE,FALSE,FALSE
"87",TRUE,FALSE,FALSE,FALSE
"88",TRUE,FALSE,FALSE,FALSE
"89",FALSE,FALSE,TRUE,FALSE
